tytul,autor,rok_wydania,numer,status,data_operacji
"Harry Potter i Kamień Filozoficzny",J.K. Rowling,1997,12567,wypozyczona,12/02/2022
"Atomowe nawyki",Clear Jamer,2019,15321,oddana,04/01/2022
"Harry Potter i Kamień Filozoficzny",J.K. Rowling,1997,12567,oddana,20/02/2022
"Hatty Potter i Kamień Filozoficzny",J.K. Rowling,1997,12567,wypozyczona,28/02/2022
"Harry Potter i Kamień Filozoficzny",J.K. Rowling,1997,12567,oddana,14/03/2022
"Harry Potter i Kamień Filozoficzny",J.K. Rowling,1997,12567,wypozyczona,12/12/2021
"Harry Potter i Kamień Filozoficzny",J.K. Rowling,1997,12567,oddana,20/12/2021
"Diuna",Frank Herbert,1965,3452,wypozyczona,08/11/2021
"W pustyni i w puszczy",Henryk Sienkiewicz,1911,98234,wypozyczona,12/05/2020
"Igrzyska smierci",Suzanne Collins,2011,71920,wypozyczona,04/03/2022
"Harry Potter i więzień Azkabanu",J.K. Rowling,1999,143822,wypozyczona,27/01/2022
"Harry Potter i więzień Azkabanu",J.K. Rowling,1999,143823,wypozyczona,03/07/2021
"Harry Potter i więzień Azkabanu",J.K. Rowling,1999,143822,oddana,01/02/2022
"Harry Potter i więzień Azkabanu",J.K. Rowling,1999,143822,wypozyczona,02/02/2022
"Behawiorysta",Remigiusz Mróz,2016,54391,wypozyczona,15/03/2022
"Behawiorysta",Remigiusz Mróz,2016,54392,wypozyczona,01/03/2022
"Behawiorysta",Remigiusz Mróz,2016,54393,wypozyczona,02/01/2022
"Behawiorysta",Remigiusz Mróz,2016,54391,oddana,15/03/2022

